2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:325 | Added: TEC_roll_std_6  (window=6)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:325 | Added: TEC_roll_std_12  (window=12)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:232 | ✅ END   — FeatureEngineering.tec_derived  (0.043 s)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:435 | Feature engineering complete: output shape=(6048, 42)  new_features=20
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:410 | ============================================================
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:411 | Starting Feature Engineering Pipeline
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:412 | ============================================================
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:413 | Input shape: (1296, 22)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:222 | ⏱  START — FeatureEngineering.temporal
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:128 | Added column: Hour
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:132 | Added column: Month
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:141 | Added column: Season
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:232 | ✅ END   — FeatureEngineering.temporal  (0.008 s)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:222 | ⏱  START — FeatureEngineering.cyclic
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:197 | Added cyclic columns: LocalTime_sin, LocalTime_cos  (period=24.00)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:197 | Added cyclic columns: DayOfYear_sin, DayOfYear_cos  (period=365.25)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:197 | Added cyclic columns: Month_sin, Month_cos  (period=12.00)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:232 | ✅ END   — FeatureEngineering.cyclic  (0.008 s)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:222 | ⏱  START — FeatureEngineering.tec_derived
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:287 | Added: TEC_diff1
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:296 | Added: TEC_gradient
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag1  (lag=1)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag2  (lag=2)
